Age,Gender,Location,Income,Savings,Existing Investments,Life Stage,Existing Policies,Website Activity Score,Past Claims,Recommended Policy Type,Coverage Amount,Premium Term,Interest in Add-on Benefits,Upselling Opportunity,Premium Amount
26,Male,Rural,30000,6000,77000,Partnered,2,95,1,Life Insurance,90000,Whole Life,70,0,15000
31,Male,Urban,34000,32000,60000,Single,1,61,1,Health Insurance,90000,Whole Life,71,0,15000
31,Male,Rural,19000,1000,87000,Partnered,1,95,0,Life Insurance,90000,Whole Life,51,0,15000
28,Male,Urban,33000,19000,59000,Married,2,72,1,Life Insurance,90000,Whole Life,75,1,15000
31,Male,Rural,47000,30000,52000,Married,0,95,1,Health Insurance,90000,20 Years,53,0,15000
26,Male,Suburban,94000,60000,64000,Single,0,95,0,Investment Plan,90000,20 Years,64,1,15000
57,Male,Urban,48000,26000,89000,Married,2,52,0,Retirement Plan,90000,5 Years,89,0,15000
37,Female,Suburban,57000,51000,91000,Married,2,61,1,Investment Plan,90000,10 Years,54,1,15000
37,Female,Urban,54000,33000,12000,Married,2,76,1,Health Insurance,90000,Whole Life,65,1,15000
31,Male,Suburban,50000,75000,30000,Partnered,2,81,1,Investment Plan,90000,5 Years,53,0,15000
52,Male,Rural,77000,37000,25000,Empty Nesters,2,72,0,Retirement Plan,90000,5 Years,69,0,15000
20,Female,Urban,45000,15000,33000,Single,2,75,0,Life Insurance,90000,10 Years,68,0,15000
59,Female,Rural,59000,51000,93000,Parents,1,60,0,Retirement Plan,90000,20 Years,69,0,15000
34,Male,Rural,48000,13000,72000,Married,1,71,1,Life Insurance,90000,5 Years,75,1,15000
55,Male,Urban,74000,50000,66000,Parents,1,83,1,Retirement Plan,90000,Whole Life,79,1,15000
31,Female,Suburban,84000,65000,3000,Single,0,95,0,Investment Plan,90000,Whole Life,68,0,15000
56,Male,Suburban,49000,37000,89000,Empty Nesters,0,55,0,Retirement Plan,90000,10 Years,69,0,15000
44,Female,Rural,44000,8000,18000,Married,0,78,0,Health Insurance,90000,20 Years,71,1,15000
31,Male,Rural,45000,10000,51000,Single,0,95,1,Life Insurance,90000,10 Years,68,0,15000
34,Male,Suburban,40000,35000,41000,Partnered,1,95,0,Health Insurance,90000,20 Years,74,1,15000
66,Male,Rural,74000,49000,94000,Empty Nesters,1,64,0,Retirement Plan,90000,10 Years,79,0,15000
65,Male,Urban,75000,39000,92000,Empty Nesters,0,41,1,Retirement Plan,90000,20 Years,91,1,15000
23,Female,Suburban,31000,18000,37000,Single,2,95,0,Life Insurance,90000,10 Years,52,0,15000
56,Male,Urban,57000,46000,69000,Married,0,64,1,Retirement Plan,90000,10 Years,63,0,15000
59,Male,Rural,77000,43000,62000,Empty Nesters,0,51,0,Retirement Plan,90000,10 Years,77,0,15000
36,Female,Urban,84000,58000,92000,Partnered,0,95,0,Investment Plan,90000,10 Years,59,1,15000
32,Male,Rural,41000,29000,6000,Single,2,95,1,Health Insurance,90000,5 Years,83,1,15000
65,Female,Rural,43000,33000,76000,Empty Nesters,1,49,0,Retirement Plan,90000,20 Years,82,0,15000
28,Female,Urban,85000,57000,94000,Married,2,88,0,Investment Plan,90000,5 Years,75,1,15000
40,Male,Urban,92000,59000,95000,Married,1,89,0,Investment Plan,90000,5 Years,70,0,15000
48,Male,Rural,45000,35000,91000,Empty Nesters,1,93,0,Health Insurance,90000,20 Years,85,0,15000
20,Female,Suburban,42000,18000,48000,Single,0,88,0,Life Insurance,90000,20 Years,57,1,15000
30,Female,Rural,82000,38000,2000,Married,2,85,1,Investment Plan,90000,10 Years,59,0,15000
20,Female,Rural,28000,10000,96000,Single,1,95,1,Life Insurance,90000,5 Years,77,0,15000
67,Male,Suburban,46000,65000,55000,Empty Nesters,2,29,0,Retirement Plan,90000,20 Years,71,0,15000
32,Male,Suburban,73000,40000,28000,Married,0,86,0,Investment Plan,90000,10 Years,49,1,15000
67,Male,Rural,72000,51000,67000,Empty Nesters,0,26,1,Retirement Plan,90000,20 Years,88,0,15000
27,Female,Rural,24000,11000,80000,Single,2,95,1,Life Insurance,90000,10 Years,59,0,15000
48,Male,Suburban,49000,23000,96000,Parents,1,78,0,Health Insurance,90000,5 Years,55,1,15000
24,Female,Suburban,33000,7000,83000,Single,2,95,0,Life Insurance,90000,10 Years,80,1,15000
26,Male,Suburban,17000,10000,91000,Partnered,2,95,1,Life Insurance,90000,20 Years,58,1,15000
34,Male,Urban,42000,13000,33000,Single,0,70,0,Health Insurance,90000,10 Years,63,0,15000
25,Male,Rural,38000,25000,68000,Single,2,95,0,Life Insurance,90000,Whole Life,57,0,15000
27,Male,Rural,65000,50000,28000,Married,0,94,0,Investment Plan,90000,Whole Life,60,1,15000
44,Female,Rural,53000,22000,21000,Parents,2,74,1,Health Insurance,90000,10 Years,77,0,15000
59,Female,Urban,73000,45000,76000,Married,0,71,1,Retirement Plan,90000,Whole Life,94,0,15000
45,Female,Suburban,49000,24000,8000,Married,2,68,1,Health Insurance,90000,20 Years,93,1,15000
68,Female,Rural,77000,40000,71000,Empty Nesters,1,32,1,Retirement Plan,90000,Whole Life,75,0,15000
36,Male,Urban,61000,64000,29000,Married,2,95,0,Investment Plan,90000,20 Years,55,0,15000
32,Female,Urban,31000,17000,28000,Single,0,95,1,Life Insurance,90000,Whole Life,65,0,15000
47,Male,Urban,49000,30000,36000,Parents,0,85,0,Health Insurance,90000,10 Years,79,0,15000
20,Male,Urban,29000,3000,14000,Single,2,95,1,Life Insurance,90000,20 Years,55,0,15000
28,Female,Urban,29000,6000,50000,Single,0,95,1,Life Insurance,90000,Whole Life,72,1,15000
41,Female,Rural,40000,37000,76000,Empty Nesters,2,84,0,Health Insurance,90000,Whole Life,76,1,15000
44,Male,Rural,31000,24000,24000,Married,0,90,1,Health Insurance,90000,20 Years,78,0,15000
31,Male,Suburban,82000,81000,98000,Partnered,1,95,1,Investment Plan,90000,20 Years,66,1,15000
35,Male,Urban,26000,32000,92000,Single,1,95,0,Health Insurance,90000,10 Years,62,1,15000
31,Female,Suburban,43000,74000,32000,Partnered,2,63,0,Investment Plan,90000,10 Years,61,1,15000
31,Male,Rural,71000,44000,18000,Single,2,89,1,Investment Plan,90000,5 Years,50,1,15000
33,Male,Suburban,36000,14000,39000,Single,0,87,0,Life Insurance,90000,5 Years,52,0,15000
66,Male,Urban,71000,50000,61000,Empty Nesters,1,49,0,Retirement Plan,90000,5 Years,83,0,15000
34,Male,Rural,44000,30000,39000,Partnered,0,80,0,Health Insurance,90000,5 Years,82,0,15000
40,Female,Urban,42000,23000,23000,Partnered,1,64,0,Health Insurance,90000,20 Years,64,1,15000
29,Male,Urban,85000,47000,92000,Partnered,0,91,1,Investment Plan,90000,Whole Life,48,1,15000
32,Male,Rural,20000,12000,99000,Single,0,95,0,Life Insurance,90000,10 Years,72,0,15000
24,Male,Urban,39000,13000,76000,Single,2,95,0,Life Insurance,90000,10 Years,57,1,15000
47,Female,Suburban,39000,29000,93000,Empty Nesters,2,64,1,Health Insurance,90000,Whole Life,74,0,15000
38,Female,Urban,44000,22000,24000,Married,1,90,0,Health Insurance,90000,10 Years,77,1,15000
29,Male,Suburban,59000,70000,11000,Partnered,0,80,1,Investment Plan,90000,10 Years,69,0,15000
41,Female,Suburban,54000,60000,49000,Married,2,87,0,Investment Plan,90000,Whole Life,90,0,15000
27,Male,Urban,100000,43000,87000,Partnered,0,95,0,Investment Plan,90000,5 Years,88,1,15000
44,Male,Rural,47000,35000,53000,Married,1,94,1,Health Insurance,90000,5 Years,54,0,15000
33,Female,Urban,31000,8000,39000,Married,1,95,1,Life Insurance,90000,10 Years,69,1,15000
29,Male,Urban,44000,67000,81000,Single,0,95,1,Investment Plan,90000,Whole Life,68,0,15000
